id,name,src,rgb
K001-1995,CRUSH,K001-1995.jpg,"(243, 41, 66)"
K001-1987,COSMOS,K001-1987.jpg,"(169, 56, 171)"
K001-1914,HORIZON,K001-1914.jpg,"(76, 212, 243)"
K001-184,EGGSHELL,K001-184.jpg,"(250, 232, 195)"
K001-185,CREAMSICLE,K001-185.jpg,"(251, 147, 118)"
K001-1832,ENCHANTED,K001-1832.jpg,"(3, 124, 103)"
K001-1833,ALOHA,K001-1833.jpg,"(147, 247, 227)"
K001-1834,BALSAM,K001-1834.jpg,"(6, 101, 68)"
K001-1835,BANANA PEPPER,K001-1835.jpg,"(236, 197, 48)"
K001-1836,BOTANICAL,K001-1836.jpg,"(123, 188, 82)"
K001-1837,CHALKBOARD,K001-1837.jpg,"(77, 91, 100)"
K001-1838,CHILI,K001-1838.jpg,"(242, 53, 20)"
K001-1839,CLEMENTINE,K001-1839.jpg,"(246, 115, 14)"
K001-1840,DILL,K001-1840.jpg,"(95, 121, 82)"
K001-1841,DRAGON FRUIT,K001-1841.jpg,"(241, 82, 160)"
K001-1842,FERNDALE,K001-1842.jpg,"(99, 219, 148)"
K001-1843,GECKO,K001-1843.jpg,"(129, 146, 44)"
K001-1844,GRIZZLY,K001-1844.jpg,"(96, 93, 84)"
K001-1845,HARBOR,K001-1845.jpg,"(36, 114, 180)"
K001-1846,LEMON ICE,K001-1846.jpg,"(254, 250, 175)"
K001-1847,LIGHTHOUSE,K001-1847.jpg,"(203, 213, 211)"
K001-1848,MARMALADE,K001-1848.jpg,"(234, 104, 28)"
K001-1849,NACHO CHEESE,K001-1849.jpg,"(245, 141, 7)"
K001-1850,ORCHID ICE,K001-1850.jpg,"(189, 162, 207)"
K001-1851,OTTER,K001-1851.jpg,"(83, 70, 51)"
K001-1852,SEA MIST,K001-1852.jpg,"(210, 253, 226)"
K001-1853,SEASCAPE,K001-1853.jpg,"(103, 194, 215)"
K001-1854,SHARK,K001-1854.jpg,"(127, 140, 148)"
K001-1855,SUEDE,K001-1855.jpg,"(161, 132, 115)"
K001-1856,SUMMER PEAR,K001-1856.jpg,"(223, 237, 156)"
K001-1857,VELVET,K001-1857.jpg,"(85, 47, 135)"
K001-59,CANTALOUPE,K001-59.jpg,"(250, 159, 94)"
K001-106,METAL,K001-106.jpg,"(84, 94, 96)"
K001-178,LEATHER,K001-178.jpg,"(148, 114, 47)"
K001-192,MANGO,K001-192.jpg,"(250, 133, 78)"
K001-221,PARAKEET,K001-221.jpg,"(122, 218, 146)"
K001-266,BREEZE,K001-266.jpg,"(191, 234, 249)"
K001-837,ARUBA,K001-837.jpg,"(142, 245, 216)"
K001-838,BRIGHT IDEA,K001-838.jpg,"(252, 228, 76)"
K001-839,DOVE,K001-839.jpg,"(228, 237, 234)"
K001-840,DUCKLING,K001-840.jpg,"(251, 196, 25)"
K001-841,EUCALYPTUS,K001-841.jpg,"(218, 215, 168)"
K001-842,KEY LIME,K001-842.jpg,"(221, 242, 84)"
K001-843,LINGERIE,K001-843.jpg,"(236, 216, 203)"
K001-844,PRINCESS,K001-844.jpg,"(226, 201, 234)"
K001-845,SASSY PINK,K001-845.jpg,"(248, 108, 176)"
K001-846,SEA GLASS,K001-846.jpg,"(201, 252, 252)"
K001-847,SPA BLUE,K001-847.jpg,"(153, 211, 237)"
K001-848,BLUEPRINT,K001-848.jpg,"(8, 83, 163)"
K001-849,DESERT GREEN,K001-849.jpg,"(206, 225, 210)"
K001-850,DOESKIN,K001-850.jpg,"(197, 185, 169)"
K001-851,MAC AND CHEESE,K001-851.jpg,"(250, 173, 83)"
K001-852,NOBLE PURPLE,K001-852.jpg,"(68, 66, 143)"
K001-853,ORANGEADE,K001-853.jpg,"(250, 106, 68)"
K001-854,OVERCAST,K001-854.jpg,"(155, 163, 165)"
K001-855,PRAIRIE SKY,K001-855.jpg,"(130, 199, 244)"
K001-856,QUICKSILVER,K001-856.jpg,"(196, 203, 211)"
K001-857,ROASTED PECAN,K001-857.jpg,"(141, 86, 12)"
K001-858,SHITAKE,K001-858.jpg,"(184, 182, 170)"
K001-859,ZINC,K001-859.jpg,"(136, 129, 113)"
K001-860,ACID LIME,K001-860.jpg,"(245, 248, 32)"
K001-861,BALLET SLIPPER,K001-861.jpg,"(251, 213, 206)"
K001-862,GOTHAM GREY,K001-862.jpg,"(64, 73, 70)"
K001-863,HAZE,K001-863.jpg,"(234, 235, 228)"
K001-864,PARIS BLUE,K001-864.jpg,"(8, 144, 207)"
K001-865,PIMENTO,K001-865.jpg,"(229, 57, 30)"
K001-866,WATERFALL,K001-866.jpg,"(119, 186, 212)"
K001-956,FOXGLOVE,K001-956.jpg,"(217, 159, 165)"
K001-1320,SAFFRON,K001-1320.jpg,"(236, 136, 24)"
K001-30,LAUREL,K001-30.jpg,"(107, 162, 103)"
K001-148,DAFFODIL,K001-148.jpg,"(251, 199, 96)"
K001-472,CABBAGE,K001-472.jpg,"(173, 197, 104)"
K001-473,GERANIUM,K001-473.jpg,"(154, 55, 132)"
K001-474,GOLDFISH,K001-474.jpg,"(251, 154, 47)"
K001-475,GRASSHOPPER,K001-475.jpg,"(35, 149, 26)"
K001-476,GRELLOW,K001-476.jpg,"(222, 150, 7)"
K001-477,HELIOTROPE,K001-477.jpg,"(110, 73, 147)"
K001-478,LIMESTONE,K001-478.jpg,"(196, 183, 143)"
K001-479,MEDITERRANEAN,K001-479.jpg,"(4, 96, 158)"
K001-480,PICKLE,K001-480.jpg,"(183, 156, 6)"
K001-481,SANGRIA,K001-481.jpg,"(161, 15, 70)"
K001-482,TERRACOTTA,K001-482.jpg,"(195, 75, 31)"
K001-483,ULTRA MARINE,K001-483.jpg,"(7, 100, 91)"
K001-484,ASTRAL,K001-484.jpg,"(45, 132, 214)"
K001-485,BALLERINA,K001-485.jpg,"(218, 146, 191)"
K001-486,COBBLESTONE,K001-486.jpg,"(166, 136, 108)"
K001-487,CORSAGE,K001-487.jpg,"(238, 165, 220)"
K001-488,DAHLIA,K001-488.jpg,"(163, 105, 174)"
K001-489,GUMDROP,K001-489.jpg,"(214, 95, 163)"
K001-490,HONEYSUCKLE,K001-490.jpg,"(243, 41, 119)"
K001-491,JAMAICA,K001-491.jpg,"(36, 207, 231)"
K001-492,LATTE,K001-492.jpg,"(189, 165, 129)"
K001-493,LIMELIGHT,K001-493.jpg,"(199, 201, 74)"
K001-494,MALIBU,K001-494.jpg,"(5, 117, 187)"
K001-495,MORNING GLORY,K001-495.jpg,"(138, 98, 167)"
K001-496,NECTARINE,K001-496.jpg,"(246, 103, 67)"
K001-497,NIAGARA,K001-497.jpg,"(76, 195, 232)"
K001-498,PARROT,K001-498.jpg,"(99, 190, 34)"
K001-499,SCONE,K001-499.jpg,"(225, 201, 137)"
K001-500,TITANIUM,K001-500.jpg,"(139, 149, 158)"
K001-1039,BORDEAUX,K001-1039.jpg,"(105, 10, 54)"
K001-1099,DEEP ROSE,K001-1099.jpg,"(180, 63, 83)"
K001-1205,LT. PARFAIT,K001-1205.jpg,"(251, 224, 196)"
K001-1215,MAHOGANY,K001-1215.jpg,"(91, 49, 45)"
K001-1237,MOCHA,K001-1237.jpg,"(102, 70, 49)"
K001-1240,MUSTARD,K001-1240.jpg,"(252, 210, 141)"
K001-1259,OLD GREEN,K001-1259.jpg,"(123, 171, 123)"
K001-1263,OLIVE,K001-1263.jpg,"(150, 142, 46)"
K001-1332,SIENNA,K001-1332.jpg,"(192, 85, 61)"
K001-1361,SPRUCE,K001-1361.jpg,"(9, 70, 57)"
