id,name,src,rgb
AMD-7000-2,BLACK,AMD-7000-2.jpg,"(32, 31, 31)"
AMD-7000-3,RED,AMD-7000-3.jpg,"(165, 31, 37)"
AMD-7000-4,BLUE,AMD-7000-4.jpg,"(37, 72, 148)"
AMD-7000-8,ORANGE,AMD-7000-8.jpg,"(235, 80, 32)"
AMD-7000-9,NAVY,AMD-7000-9.jpg,"(26, 29, 45)"
AMD-7000-11,ROYAL,AMD-7000-11.jpg,"(29, 106, 193)"
AMD-7000-12,GREY,AMD-7000-12.jpg,"(192, 202, 207)"
AMD-7000-15,IVORY,AMD-7000-15.jpg,"(241, 229, 213)"
AMD-7000-16,BROWN,AMD-7000-16.jpg,"(54, 42, 36)"
AMD-7000-17,IRIS,AMD-7000-17.jpg,"(65, 54, 114)"
AMD-7000-21,LILAC,AMD-7000-21.jpg,"(218, 170, 220)"
AMD-7000-22,VIOLET,AMD-7000-22.jpg,"(120, 91, 173)"
AMD-7000-23,LAVENDER,AMD-7000-23.jpg,"(214, 202, 234)"
AMD-7000-26,PETUNIA,AMD-7000-26.jpg,"(149, 96, 173)"
AMD-7000-33,KIWI,AMD-7000-33.jpg,"(117, 200, 93)"
AMD-7000-42,PALM,AMD-7000-42.jpg,"(67, 170, 94)"
AMD-7000-45,MOSS,AMD-7000-45.jpg,"(69, 73, 50)"
AMD-7000-46,PEAR,AMD-7000-46.jpg,"(154, 178, 47)"
AMD-7000-48,JUNGLE,AMD-7000-48.jpg,"(74, 94, 51)"
AMD-7000-49,OLIVE,AMD-7000-49.jpg,"(54, 55, 47)"
AMD-7000-51,JADE,AMD-7000-51.jpg,"(17, 154, 160)"
AMD-7000-52,PISTACHIO,AMD-7000-52.jpg,"(151, 158, 41)"
AMD-7000-56,POND,AMD-7000-56.jpg,"(39, 104, 99)"
AMD-7000-58,CACTUS,AMD-7000-58.jpg,"(155, 156, 119)"
AMD-7000-62,INDIGO,AMD-7000-62.jpg,"(14, 26, 43)"
AMD-7000-65,POWDER,AMD-7000-65.jpg,"(229, 239, 251)"
AMD-7000-67,DENIM,AMD-7000-67.jpg,"(90, 128, 162)"
AMD-7000-70,AQUA,AMD-7000-70.jpg,"(140, 229, 235)"
AMD-7000-72,COBALT,AMD-7000-72.jpg,"(32, 38, 79)"
AMD-7000-75,DELFT,AMD-7000-75.jpg,"(91, 140, 217)"
AMD-7000-78,PEACOCK,AMD-7000-78.jpg,"(13, 54, 66)"
AMD-7000-81,TURQUOISE,AMD-7000-81.jpg,"(25, 163, 220)"
AMD-7000-88,ICE,AMD-7000-88.jpg,"(207, 231, 243)"
AMD-7000-95,BURGUNDY,AMD-7000-95.jpg,"(75, 42, 54)"
AMD-7000-96,BLUSH,AMD-7000-96.jpg,"(244, 175, 206)"
AMD-7000-97,ROSE,AMD-7000-97.jpg,"(239, 71, 130)"
AMD-7000-101,FLAME,AMD-7000-101.jpg,"(206, 66, 42)"
AMD-7000-105,GARNET,AMD-7000-105.jpg,"(127, 38, 36)"
AMD-7000-108,FUCHSIA,AMD-7000-108.jpg,"(129, 34, 75)"
AMD-7000-118,RUBY,AMD-7000-118.jpg,"(119, 24, 67)"
AMD-7000-120,BORDEAUX,AMD-7000-120.jpg,"(124, 46, 47)"
AMD-7000-125,SUNFLOWER,AMD-7000-125.jpg,"(239, 192, 65)"
AMD-7000-126,OCHRE,AMD-7000-126.jpg,"(204, 140, 53)"
AMD-7000-127,CORNSILK,AMD-7000-127.jpg,"(218, 170, 74)"
AMD-7000-128,DAFFODIL,AMD-7000-128.jpg,"(239, 203, 26)"
AMD-7000-130,SUNSHINE,AMD-7000-130.jpg,"(247, 185, 46)"
AMD-7000-131,CANARY,AMD-7000-131.jpg,"(253, 225, 100)"
AMD-7000-132,PINEAPPLE,AMD-7000-132.jpg,"(244, 161, 8)"
AMD-7000-133,GOLD,AMD-7000-133.jpg,"(244, 175, 50)"
AMD-7000-135,MUSTARD,AMD-7000-135.jpg,"(195, 130, 10)"
AMD-7000-136,BUTTERCUP,AMD-7000-136.jpg,"(252, 246, 194)"
AMD-7000-139,BANANA,AMD-7000-139.jpg,"(254, 237, 149)"
AMD-7000-141,SAFFRON,AMD-7000-141.jpg,"(247, 145, 37)"
AMD-7000-142,AMBER,AMD-7000-142.jpg,"(197, 141, 83)"
AMD-7000-148,PUMPKIN,AMD-7000-148.jpg,"(202, 84, 44)"
